First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-08-23T05:01:25Z,2025-08-23T05:03:54Z,1000tomax,Aranea boots,FINISHED,1,1,4938172,5088160,101763,48225,48225
2025-08-23T04:46:53Z,2025-08-23T05:03:24Z,1000tomax,Antidote++(4),SELLING,244,65,3415,3618,4671,8559,131
2025-08-23T05:02:38Z,2025-08-23T05:03:04Z,1000tomax,Feather,FINISHED,1,1,3,2,0,-1,-1
2025-08-23T04:58:33Z,2025-08-23T05:00:48Z,1000tomax,Gold bar,FINISHED,10000,10000,123,127,20000,20000,2
2025-08-22T22:29:17Z,2025-08-23T04:52:32Z,1000tomax,Crystal armour seed,SELLING,5,2,6205406,6292080,251682,-78334,-39167
2025-08-23T04:03:19Z,2025-08-23T04:48:56Z,1000tomax,Rune knife,FINISHED,10971,10971,154,165,32913,92986,8
2025-08-23T04:42:56Z,2025-08-23T04:46:33Z,1000tomax,Law rune,FINISHED,18000,18000,108,110,36000,0,0
2025-08-23T04:43:42Z,2025-08-23T04:46:00Z,1000tomax,Divine ranging potion(4),FINISHED,3,3,10407,10419,624,-588,-196
2025-08-23T04:28:24Z,2025-08-23T04:41:31Z,1000tomax,Berserker ring,FINISHED,5,5,5386621,5508485,550845,58475,11695
2025-08-23T04:39:01Z,2025-08-23T04:41:21Z,1000tomax,Demon tear,FINISHED,13000,13000,131,138,26000,65000,5
2025-08-23T04:38:28Z,2025-08-23T04:39:28Z,1000tomax,Dragon hunter crossbow,FINISHED,1,1,45013069,46113000,922260,177671,177671
2025-08-23T04:22:49Z,2025-08-23T04:38:47Z,1000tomax,Willow longbow (u),FINISHED,4668,4668,96,109,9336,51348,11
2025-08-23T04:02:41Z,2025-08-23T04:29:42Z,1000tomax,Abyssal whip,FINISHED,15,15,1649928,1689725,506908,90058,6003
2025-08-23T04:06:53Z,2025-08-23T04:28:05Z,1000tomax,Huasca seed,FINISHED,125,125,23058,23945,59750,51125,409
2025-08-23T03:30:10Z,2025-08-23T04:23:11Z,1000tomax,Blighted manta ray,FINISHED,800,800,328,325,4800,-7200,-9
2025-08-23T03:55:15Z,2025-08-23T04:11:22Z,1000tomax,Amulet of fury,FINISHED,8,8,1987548,2034818,325568,52592,6574
2025-08-23T03:33:16Z,2025-08-23T04:08:55Z,1000tomax,Dragon knife,FINISHED,259,259,27590,28591,147889,111370,430
2025-08-23T04:03:49Z,2025-08-23T04:05:15Z,1000tomax,Chaos rune,FINISHED,18000,18000,58,61,18000,36000,2
2025-08-23T03:55:08Z,2025-08-23T03:59:52Z,1000tomax,Tormented synapse,FINISHED,1,1,32954089,33795041,675900,165052,165052
2025-08-23T03:35:37Z,2025-08-23T03:56:48Z,1000tomax,Amethyst dart,FINISHED,11000,11000,430,446,88000,97000,8
2025-08-23T03:44:38Z,2025-08-23T03:54:50Z,1000tomax,Uncharged toxic trident,FINISHED,1,1,3283282,3377625,67552,26791,26791
