First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-09-09T03:12:16Z,2025-09-09T04:14:24Z,Mreedon97,Cosmic rune,FINISHED,1888,1888,67,72,1888,7552,4
2025-09-09T03:00:27Z,2025-09-09T04:14:10Z,1000tomax,Magic longbow (u),SELLING,10000,907,1050,1075,19047,3628,4
2025-09-08T22:55:10Z,2025-09-09T04:13:33Z,Iron Nuggget,Ruby bolts,SELLING,11000,3570,280,289,17850,17340,4
2025-09-09T03:30:32Z,2025-09-09T04:11:55Z,1000tomax,Ahrim's robetop,SELLING,3,1,2200372,2292098,45841,45885,45885
2025-09-09T03:10:18Z,2025-09-09T04:01:19Z,Mreedon97,Soul rune,FINISHED,25000,25000,368,380,175000,125000,5
2025-09-09T03:21:00Z,2025-09-09T03:28:49Z,1000tomax,Rune arrow,FINISHED,11000,11000,148,154,33000,33000,3
2025-09-09T03:04:10Z,2025-09-09T03:27:50Z,1000tomax,Iron ore,FINISHED,13000,13000,111,116,26000,39000,3
2025-09-09T03:11:31Z,2025-09-09T03:27:17Z,Iron Nuggget,Eldritch orb,FINISHED,1,1,142977038,146687339,2933746,776555,776555
2025-09-09T02:27:04Z,2025-09-09T03:24:47Z,Iron Nuggget,Twisted buckler,FINISHED,4,4,19050872,19463643,1557088,93996,23499
2025-09-09T03:07:19Z,2025-09-09T03:23:25Z,Mreedon97,Ahrim's robetop,FINISHED,3,3,2226539,2269251,136155,-8019,-2673
2025-09-09T02:56:57Z,2025-09-09T03:22:27Z,Mreedon97,Berserker ring,SELLING,7,4,5250905,5368972,429517,42751,10687
2025-09-09T03:00:40Z,2025-09-09T03:21:05Z,1000tomax,Grapes,FINISHED,13611,13611,72,74,13611,13611,1
2025-09-09T03:09:34Z,2025-09-09T03:18:10Z,1000tomax,Flared trousers,FINISHED,1,1,3082409,3207584,64151,61024,61024
2025-09-09T02:59:53Z,2025-09-09T03:15:59Z,1000tomax,Bandos chestplate,FINISHED,2,2,22695903,23231923,929276,142764,71382
2025-09-09T01:53:31Z,2025-09-09T03:12:44Z,Iron Nuggget,Red chinchompa,FINISHED,7000,7000,878,880,119500,-103000,-14
2025-09-09T03:01:20Z,2025-09-09T03:09:08Z,Mreedon97,Bandos chestplate,FINISHED,1,1,22695903,23229998,464599,69496,69496
2025-09-09T02:38:42Z,2025-09-09T03:08:29Z,Mreedon97,Red chinchompa,FINISHED,7000,7000,863,875,119000,-34956,-4
2025-09-09T02:40:11Z,2025-09-09T03:07:09Z,1000tomax,Death rune,FINISHED,25000,25000,129,132,50000,47553,1
