item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Demon tear,60,5292126,109124098,4.849640085913929,88202.1,08-20-2025
Rune arrow,102,4536643,140418896,3.2307923856629666,44476.89215686275,08-20-2025
Cannonball,116,4313435,161267775,2.6747036101911865,37184.78448275862,08-20-2025
Zulrah's scales,75,3995080,304375635,1.3125492124229983,53267.73333333333,08-20-2025
Soul rune,69,3102386,368911378,0.8409569845254271,44962.115942028984,08-20-2025
Blood rune,69,3080987,246024841,1.2523072822552905,44651.985507246376,08-21-2025
Mokhaiotl waystone,21,2994419,68924047,4.344519990243753,142591.38095238095,08-19-2025
Coal,82,2991168,140153755,2.134204681137512,36477.65853658537,08-20-2025
Death rune,75,2932462,204632179,1.433040499461231,39099.49333333333,08-20-2025
Atlatl dart,65,2718046,39394256,6.899599779216543,41816.092307692306,08-20-2025
Chaos rune,86,2406379,83732276,2.873896560509116,27981.1511627907,08-20-2025
Revenant ether,57,2225969,259914350,0.85642404892227,39052.087719298244,08-20-2025
Cosmic rune,64,2025636,73857727,2.742618927333087,31650.5625,08-20-2025
Dragon bones,18,1750824,176544652,0.9917173815041421,97268,08-20-2025
Runite bolts,77,1737921,92766145,1.8734431618345249,22570.402597402597,08-20-2025
Ranarr seed,31,1666212,150562551,1.106657657520694,53748.77419354839,08-20-2025
Law rune,57,1607327,104107339,1.5439132489977483,28198.719298245614,08-20-2025
Nature rune,80,1603177,109195606,1.4681698822203524,20039.7125,08-20-2025
Astral rune,54,1538437,68133594,2.2579713026733916,28489.574074074073,08-20-2025
Adamant dart,58,1461140,21330541,6.849990349518093,25192.068965517243,08-20-2025
Steel bar,32,1334286,119925181,1.1125986960153096,41696.4375,08-20-2025
Torstol seed,24,1116142,24040187,4.6428174622768115,46505.916666666664,08-20-2025
Yew longbow,20,1102340,86681744,1.2717095309019164,55117,08-19-2025
Prayer potion(4),11,1063721,117060445,0.9086937949022832,96701.90909090909,08-21-2025
Yew longbow (u),21,1061270,35979389,2.949660985071203,50536.666666666664,08-20-2025
Magus ring,4,1051262,121528270,0.8650349420756175,262815.5,08-19-2025
Mahogany logs,29,1032486,58609210,1.7616446288902374,35602.96551724138,08-20-2025
Antler guard,16,1008849,61017749,1.6533697432856793,63053.0625,08-20-2025
Mithril dart tip,28,959718,39661960,2.419744258730532,34275.642857142855,08-20-2025
Gold bar,46,925579,45536688,2.032600614256355,20121.282608695652,08-20-2025
Amulet of fury,14,921936,154396540,0.5971221893962131,65852.57142857143,08-20-2025
Diamond bolts (e),23,913378,23042535,3.9638781062934267,39712.086956521736,08-20-2025
Adamantite ore,15,873284,44614098,1.9574171375155898,58218.933333333334,08-20-2025
Wrath rune,29,859980,115770505,0.7428316910252746,29654.48275862069,08-20-2025
Snape grass seed,31,845178,38038943,2.2218756183630024,27263.8064516129,08-20-2025
Amethyst arrow,31,840635,54748981,1.5354349700134144,27117.25806451613,08-20-2025
Magic logs,18,835518,93945985,0.8893599870180722,46417.666666666664,08-21-2025
Ring of wealth (5),7,808887,50244374,1.6099056184877534,115555.28571428571,08-16-2025
Red spiders' eggs,8,782763,11508707,6.80148517118387,97845.375,08-20-2025
Amethyst dart,32,781840,80605849,0.9699544260119387,24432.5,08-20-2025
Yew logs,29,725943,59429010,1.2215296872688943,25032.51724137931,08-20-2025
Iron ore,44,721904,49452776,1.4597845831748657,16406.909090909092,08-21-2025
Zamorak godsword,4,715454,67829353,1.0547852343512698,178863.5,08-19-2025
Kwuarm seed,24,692033,6047179,11.443898055605763,28834.708333333332,08-20-2025
Ankou mask,2,667335,21853346,3.053697131780186,333667.5,08-14-2025
Shark,16,664987,74313451,0.8948406931068239,41561.6875,08-20-2025
