account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Adamant bolts,FINISHED,11000,1023000,11000,1056000,11000,33000,2025-08-05T11:36:30Z,2025-08-05T11:38:22Z,2025-08-05T11:38:22Z,186cdd2185f792c677968b5ce924e53005e8b0a3117556eefc70a832c59d7d90
1000tomax,Antler guard,FINISHED,1,3214645,1,3281421,66967,66776,2025-08-05T06:04:06Z,2025-08-05T06:07:35Z,2025-08-05T06:07:35Z,ddcc8a40c9c990186962b376a2e6fbc03c3446043169a1298452fece162c07e1
1000tomax,Berserker ring,FINISHED,1,6299456,1,6271989,127999,-27467,2025-08-05T11:55:26Z,2025-08-05T12:54:02Z,2025-08-05T12:54:02Z,8e00e187aa8e2fde6e01ab2903f1542405387ae64a9b2796a4e7bb7972e19115
1000tomax,Blighted anglerfish,FINISHED,3692,660868,3692,694096,11076,33228,2025-08-05T04:53:51Z,2025-08-05T05:17:17Z,2025-08-05T05:17:17Z,d3d699b42a58a2cb380479b1f6163a932c1222904aef5ebeb7da43eddf55aeb8
1000tomax,Cannonball,FINISHED,11000,1991000,11000,2046000,33000,55000,2025-08-05T11:38:03Z,2025-08-05T11:54:48Z,2025-08-05T11:54:48Z,b02de04d880b61c574bbbefc2fd31ba1f27cbda41f95f8b04aa5be880ab5c92f
1000tomax,Chaos rune,FINISHED,18000,1062000,18000,1098000,18000,36000,2025-08-05T11:40:39Z,2025-08-05T11:48:05Z,2025-08-05T11:48:05Z,67b44c56b64b530354e326bb81f87f67ad6bed5edbdad49ea50e8eecf324e82a
1000tomax,Chromium ingot,FINISHED,2,74708,2,87322,1782,12614,2025-08-05T04:57:59Z,2025-08-05T05:01:39Z,2025-08-05T05:01:39Z,701cbe0234b523d18891a9cccc8708b541bd0eefd1007e23b671ede5752770aa
1000tomax,Cosmic rune,FINISHED,18000,1152000,18000,1224000,18000,58236,2025-08-05T11:39:22Z,2025-08-05T11:49:38Z,2025-08-05T11:49:38Z,c25c6c970ad440d07a574312ce92b9580fa722b226a0b9cedf4799b14fc10499
1000tomax,Death rune,FINISHED,25000,3475000,25000,3500000,50000,25000,2025-08-05T12:35:09Z,2025-08-05T12:38:53Z,2025-08-05T12:38:53Z,02633e24f77f644d48e26e7a7086579b96512fe98c4b3c4bd6de36cecdd0a611
1000tomax,Dragon pickaxe,FINISHED,1,1037349,1,1043565,21297,6216,2025-08-05T05:19:14Z,2025-08-05T05:28:48Z,2025-08-05T05:28:48Z,f09b8daec08cf9ce260a1a2431a28cd58114b79b0451bc1763963d83d2674af3
1000tomax,Essence impling jar,SELLING,650,972400,529,807894,16288,16543,2025-08-05T12:36:59Z,2025-08-05T13:01:41Z,2025-08-05T13:01:41Z,5b7ce88b099ef3f4fa99dd6361a6e5d0546ae83bab089c509a9eda261df75507
1000tomax,Granite maul,FINISHED,14,4970826,14,5003740,102116,32914,2025-08-05T05:59:25Z,2025-08-05T06:07:51Z,2025-08-05T06:07:51Z,132d8f85ba2c49ed41a780fe90f30a266a2986a23b1742ce541d9076ef37d4de
1000tomax,Guam potion (unf),SELLING,1752,602688,450,164700,3150,9900,2025-08-05T11:38:46Z,2025-08-05T11:55:49Z,2025-08-05T11:55:49Z,f0bdaf6d1e91a653bab2b5d94855a1c7a484a810045f076f70d94a4a9245a5c3
1000tomax,Heavy ballista,FINISHED,1,1101186,1,1056346,21558,-44840,2025-08-05T06:11:47Z,2025-08-05T11:40:51Z,2025-08-05T11:40:51Z,b811e2eb43c28599389502ac77105f976fb93fe1a66e3343650b9a0e8c700497
1000tomax,Law rune,FINISHED,18000,1980000,18000,1962000,36000,-18000,2025-08-05T06:16:02Z,2025-08-05T11:38:56Z,2025-08-05T11:38:56Z,db450a13d504dc33a4d0cf222a81be6e86fcfcf9329d3604a64d5aaba971f10e
1000tomax,Lightbearer,FINISHED,1,4828127,1,4850021,98980,21894,2025-08-05T05:19:44Z,2025-08-05T05:29:55Z,2025-08-05T05:29:55Z,8cef16d927f7642954981a039f1d9b9891413be3bb7f5fd7a88209a8419f8d22
1000tomax,Manta ray,FINISHED,448,1902656,448,1928640,38976,25984,2025-08-05T05:19:50Z,2025-08-05T05:56:36Z,2025-08-05T05:56:36Z,0078b2e949795114520575d724acd4851d7baca0343ee83ac3bcb4a09350e0b4
1000tomax,Mithril dart tip,FINISHED,20000,1880000,20000,1920000,20000,40000,2025-08-05T05:46:34Z,2025-08-05T05:58:24Z,2025-08-05T05:58:24Z,013f1d493fb2630a715ad4498232ee2908239847cf5b23c06daaff6a35dd9ed6
1000tomax,Monkfish,FINISHED,5933,4046306,5933,4093770,83062,47464,2025-08-05T05:11:20Z,2025-08-05T05:30:59Z,2025-08-05T05:30:59Z,03e310e0ba4dcc8778f31585632b2abe614b3f0f0867b18e2e09617f87e1ea67
1000tomax,Obsidian helmet,FINISHED,2,1356864,2,1376492,28090,19628,2025-08-05T05:31:28Z,2025-08-05T05:34:29Z,2025-08-05T05:34:29Z,4f672a0fa6f4df7b81e5a11e6ebd0942e40d0d2aab341187cc2d3974880ce303
1000tomax,Prayer regeneration potion(4),FINISHED,29,1537725,29,1534564,31291,-3161,2025-08-05T05:12:42Z,2025-08-05T06:31:51Z,2025-08-05T06:31:51Z,742d4244824c70bb1481fbc71d069ad4d9a1f52616a09a9da3d68c89565eba62
1000tomax,Rune arrow,FINISHED,11000,1771000,11000,1837000,33000,66000,2025-08-05T11:39:00Z,2025-08-05T12:03:13Z,2025-08-05T12:03:13Z,8e655e9bb69bc95e7d3e89e9be5dba8758825223ef5ca447f6e2992f5f334435
1000tomax,Runite bolts,FINISHED,11000,1518000,11000,1595000,22000,77000,2025-08-05T11:41:28Z,2025-08-05T11:56:03Z,2025-08-05T11:56:03Z,1243889db41d7fcd0ed5db3d12fc6f4043a1b3fda5143795aedae23a36e8d62f
1000tomax,Salve graveyard teleport,FINISHED,91,306943,91,317226,6461,10297,2025-08-05T12:37:59Z,2025-08-05T12:56:14Z,2025-08-05T12:56:14Z,553039b510359a73fedafe51770f10b7ae40dca95dd40d936b2f2399b645424a
1000tomax,Spider cave teleport,FINISHED,135,4869180,135,4855410,98955,-13770,2025-08-05T05:32:28Z,2025-08-05T11:36:30Z,2025-08-05T11:36:30Z,04ae17911338960c3420b7c3d13f247c3f3de455c6bff5b0b5dffd436c6873be
1000tomax,Steel dart tip,FINISHED,9240,665280,9240,702240,9240,36960,2025-08-05T05:37:38Z,2025-08-05T11:36:30Z,2025-08-05T11:36:30Z,e8679e6b46826bacc04e5c85e5dbe4ed89f3e819b41cb181465ed86631dfebe0
1000tomax,Teak logs,FINISHED,3125,459375,3125,478125,9375,18750,2025-08-05T04:26:48Z,2025-08-05T05:03:59Z,2025-08-05T05:03:59Z,b865e9228d0a7fc28b598d2de8a50a3f8d8527369509815e5ff8d33d90d65fab
1000tomax,Tuna potato,FINISHED,1394,2106334,1394,2110516,41820,5341,2025-08-05T04:01:52Z,2025-08-05T05:57:23Z,2025-08-05T05:57:23Z,864c58d6b4a8e7f3f5fdb14f0061ee49532b82a50e505db5102a53548e9cb3a0
1000tomax,Warrior ring,FINISHED,1,65704,1,72463,1478,6759,2025-08-05T05:58:01Z,2025-08-05T06:06:55Z,2025-08-05T06:06:55Z,c498379eb4e530bca68b1f8fd29f29b00733afe85e6e4f15308057d4fb64902b
1000tomax,Warrior ring,FINISHED,5,314525,5,350675,7155,36150,2025-08-05T05:23:10Z,2025-08-05T05:38:02Z,2025-08-05T05:38:02Z,f8e28ee9b0433e183bc365be8bb7a66e1abdc8eacd4af4fd12469b79c469ddd7
1000tomax,Wilderness crabs teleport,FINISHED,1,35727,1,35061,715,-666,2025-08-05T12:35:41Z,2025-08-05T12:39:35Z,2025-08-05T12:39:35Z,c5b22de777d04b32dc8f6062629b9e54b3425433274d25328901f3539e60c81c
1000tomax,Yew longbow (u),FINISHED,7853,2418724,7853,2481548,47118,62824,2025-08-05T04:53:02Z,2025-08-05T05:11:54Z,2025-08-05T05:11:54Z,36b301fb518369932d92af2a4e25214a5fe1bd4b0c191b6df408d13bb42fba5a
1000tomax,Zulrah's scales,FINISHED,30000,5730000,30000,5790000,90000,60000,2025-08-05T23:38:47Z,2025-08-06T00:01:23Z,2025-08-06T00:01:23Z,773fb09d626fce1a367f1df1e5675f837e07d32163db724083aaaee644f3c1ca
1000tomax,Zulrah's scales,FINISHED,27154,5240722,27154,5295030,81462,54308,2025-08-05T18:39:16Z,2025-08-05T19:09:29Z,2025-08-05T19:09:29Z,55e4f63e0aab447902be7cd859e46e40230fef041c2dbc68ed70b2c2362060d9
1000tomax,Zulrah's scales,FINISHED,28012,5294268,28012,5350292,84036,56024,2025-08-05T14:12:07Z,2025-08-05T14:40:10Z,2025-08-05T14:40:10Z,e41ef85daac18a69690625ca149ed1707f393fe85f2e20c67893bf97b80aa322
1000tomax,Zamorak d'hide boots,FINISHED,1,566497,1,577102,11777,10605,2025-08-05T15:53:13Z,2025-08-05T15:55:22Z,2025-08-05T15:55:22Z,e133db9a3ddad90f18e18c13854512bd994eb30e51c7df6ba0e9eff436462691
1000tomax,Yew logs,FINISHED,12000,2196000,12000,2208000,36000,19788,2025-08-05T13:34:24Z,2025-08-05T14:02:32Z,2025-08-05T14:02:32Z,6bb4f44600bdf657158660c92a8609f130ca6e467aa03d427121aee9f12cd28d
1000tomax,White berries,FINISHED,3879,1039572,3879,1074483,19395,34911,2025-08-05T13:40:30Z,2025-08-05T14:17:35Z,2025-08-05T14:17:35Z,ea721433a7d28308fa19a66534e8bb4b051154cc6d93f97f4b770256b480150a
1000tomax,Warrior ring,FINISHED,5,297370,5,340730,6950,43360,2025-08-05T16:07:26Z,2025-08-05T16:23:53Z,2025-08-05T16:23:53Z,3b14aaf951f7b43d3f775649704752df448a7d5f7d4719a964f8ce16eda81c3d
