item_name,spent,received_post_tax,tax_paid,profit,closed_quantity,closed_timestamp
"Dragon pickaxe",5824200,5849510,119375,25310,5,2025-08-08T01:56:56Z
"Lumbridge teleport",798512,844580,0,46068,1396,2025-08-08T01:46:38Z
"Wilderness crabs teleport",1283295,1306968,26637,23673,39,2025-08-08T01:44:11Z
"Wrath rune",7450000,7525000,150000,75000,25000,2025-08-08T01:35:07Z
"Snape grass seed",1860600,1896333,38667,35733,200,2025-08-08T01:15:51Z
"Runite bolts",1650000,1694000,33000,44000,11000,2025-08-08T01:08:49Z
"Demon tear",2912000,3068000,52000,156000,13000,2025-08-08T01:02:56Z
"Adamant dart",440000,484000,0,44000,11000,2025-08-08T01:01:10Z
"Zulrah's scales",5940000,6000000,120000,60000,30000,2025-08-08T01:01:05Z
"Trouver parchment",8779355,8853962,180687,74607,13,2025-08-08T00:58:35Z
"Revenant ether",5250000,5220000,90000,-30000,30000,2025-08-08T00:53:24Z
"Coal",2275000,2288000,39000,13000,13000,2025-08-08T00:53:13Z
"Sarachnis cudgel",100255,104592,2134,4337,1,2025-08-08T00:53:03Z
"Nature rune",1656000,1692000,18000,36000,18000,2025-08-08T00:44:50Z
"Cannonball",2079000,2112000,33000,33000,11000,2025-08-08T00:44:20Z
"Iron ore",1327277,1337728,20902,10451,10451,2025-08-08T00:40:09Z
"Rune arrow",1193962,1217221,23259,23259,7753,2025-08-08T00:33:40Z
"Demon tear",1412167,1393504,24884,-18663,6221,2025-08-08T00:31:33Z
"Divine ranging potion(4)",5998254,6130716,125103,132462,669,2025-08-08T00:30:37Z
"Blood rune",5175000,5250000,100000,75000,25000,2025-08-08T00:30:21Z
"Blue moon spear",362560,380220,7758,17660,2,2025-08-07T22:49:38Z
"Phoenix necklace",2784255,2772942,56565,-11313,1257,2025-08-07T22:47:41Z
"Eclipse atlatl",1819624,1832350,37394,12726,1,2025-08-07T22:37:04Z
"Monkfish",4518648,4673928,93168,155280,7764,2025-08-07T22:32:44Z
"Law rune",2052000,2070000,36000,18000,18000,2025-08-07T22:29:38Z
"Chaos rune",1296000,1314000,18000,18000,18000,2025-08-07T22:27:41Z
"Death rune",3575000,3625000,50000,50000,25000,2025-08-07T22:15:19Z
"Steel bar",2263715,2309498,45783,45783,5087,2025-08-07T22:14:22Z
"Dharok's platebody",1334980,1354524,27642,19544,2,2025-08-07T22:14:02Z
"Iron ore",318625,326272,5098,7647,2549,2025-08-07T22:13:48Z
"Rune arrow",506532,519520,9741,12988,3247,2025-08-07T22:12:19Z
"Gold bar",1190000,1220000,20000,30000,10000,2025-08-07T21:54:17Z
"Brimstone ring",5267155,5363458,109458,96303,1,2025-08-07T21:51:17Z
"Cosmic rune",1242000,1242000,18000,0,18000,2025-08-07T21:49:52Z
"Astral rune",160660,168970,2770,8310,2770,2025-08-07T21:28:14Z
"Dragonfire shield",7744676,7737282,157902,-7394,2,2025-08-07T21:24:16Z
"Dragon boots",6243885,6304068,128628,60183,27,2025-08-07T21:19:16Z
"Yew logs",2436000,2472000,48000,36000,12000,2025-08-07T21:14:03Z
"Dragon axe",573112,580176,11840,7064,8,2025-08-07T21:07:08Z
"Ruby bolts (e)",194750,205000,4100,10250,2050,2025-08-07T21:00:04Z
"Cooked karambwan",2027740,2034830,38995,7090,3545,2025-08-07T20:46:17Z
"Dagon'hai robes set",2978375,2922633,59645,-55742,1,2025-08-07T20:38:50Z
"Adamant bolts",731405,754502,7699,23097,7699,2025-08-07T20:34:20Z
"Cannonball",2057000,2112000,33000,55000,11000,2025-08-07T20:25:38Z
"Coal",2275000,2314000,39000,39000,13000,2025-08-07T20:23:57Z
"Blighted karambwan",1182612,1216644,17016,34032,8508,2025-08-07T20:23:02Z
"Demon tear",1471043,1565949,27116,94906,6779,2025-08-07T20:15:02Z
"Blood rune",5175000,5250000,100000,75000,25000,2025-08-07T20:04:27Z
"Nature rune",1638000,1674000,18000,36000,18000,2025-08-07T20:04:15Z
"Runite bolts",1639000,1716000,33000,77000,11000,2025-08-07T20:01:02Z
"Grapes",1100000,1140000,20000,40000,20000,2025-08-07T20:00:25Z
"Red chinchompa",5854464,5908672,115192,54208,6776,2025-08-07T19:30:01Z
"Adamant dart",418000,484000,0,66000,11000,2025-08-07T19:06:45Z
