account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Shark,FINISHED,1092,782964,1092,787332,15288,4368,2025-08-11T04:29:32Z,2025-08-11T13:28:59Z,2025-08-11T13:28:59Z,2823e932e140d28216a5eee16c8d07a00e0b001aaf6755a475d858a839c2efed
1000tomax,Shark,FINISHED,8908,6387036,8908,6422668,124712,35632,2025-08-11T13:18:03Z,2025-08-11T13:28:27Z,2025-08-11T13:28:27Z,3fd3e00e4eb883f613077a86f2a913615b9e8732363553c16c3a07023f36b928
1000tomax,Occult necklace,SELLING,8,3436368,4,1680478,34294,-37704,2025-08-11T13:18:03Z,2025-08-11T13:52:53Z,2025-08-11T13:52:53Z,a4d01be74ccfeef19b2c10ba8d7db8aaf077b2e235bbb74d28f05070e46f193f
1000tomax,Nature rune,FINISHED,18000,1566000,18000,1584000,18000,18000,2025-08-11T13:40:14Z,2025-08-11T13:52:52Z,2025-08-11T13:52:52Z,24dccac63f7b8a4a1c16ebba3987d2d81c6929612da2d50482f4ccdad6c944e3
1000tomax,Law rune,FINISHED,18000,1962000,18000,1980000,36000,18000,2025-08-11T13:23:27Z,2025-08-11T13:42:20Z,2025-08-11T13:42:20Z,0839f148b6392c3b479f4738d106b05c90685c7ba621b0bf187a58127fe9a7c8
1000tomax,Dragon bones,FINISHED,5988,13347252,5988,13281384,269460,-65868,2025-08-11T04:06:31Z,2025-08-11T13:32:12Z,2025-08-11T13:32:12Z,a1a16056fd3c9ec50c1e7dfa2175ba1a170a7dc8b7bad041965a348259669032
1000tomax,Diamond bolts (e),FINISHED,432,75600,432,89856,1728,14256,2025-08-11T04:34:40Z,2025-08-11T13:29:30Z,2025-08-11T13:29:30Z,f79d42a239fd10273540b6ca70ba493273c6788078eb6f4aea768004260d5580
1000tomax,Diamond bolts (e),FINISHED,10234,1790950,10234,2128672,40936,337722,2025-08-11T13:18:03Z,2025-08-11T13:29:30Z,2025-08-11T13:29:30Z,e0b8440b39ee7966efbb98c055d6e6c08c22b52b4e7f75751852116e3280b0c1
1000tomax,Death rune,FINISHED,25000,3500000,25000,3525000,50000,25000,2025-08-11T13:22:32Z,2025-08-11T13:41:01Z,2025-08-11T13:41:01Z,ded230c9df426501260e12d53046b7e2086e62061be75b2527eb3d9a886f4476
1000tomax,Chaos rune,FINISHED,18000,1098000,18000,1134000,18000,36000,2025-08-11T13:53:11Z,2025-08-11T13:54:37Z,2025-08-11T13:54:37Z,fb83e525592a633c84f07ea75ae1bd5f15179763e95131882227e512a2ebd093
1000tomax,Cannonball,FINISHED,11000,1870000,11000,1947000,33000,77000,2025-08-11T13:21:27Z,2025-08-11T13:40:20Z,2025-08-11T13:40:20Z,adc03dbe53ddef1efa0bf85648b7fc9a6785d93bd508db59a132cd397d975e21
1000tomax,Bracelet of slaughter,FINISHED,263,952323,263,1017021,20514,64698,2025-08-11T13:18:03Z,2025-08-11T13:20:35Z,2025-08-11T13:20:35Z,9d6457f07cc327e8ba8f692e2cb48214f92c426431e4387ac9db4175c42fca14
1000tomax,Bracelet of slaughter,FINISHED,79,286059,79,305493,6162,19434,2025-08-11T04:28:20Z,2025-08-11T13:20:35Z,2025-08-11T13:20:35Z,2b9f6d25b3652ac8d2810b0311f71c1621857346de7f74b0cf23127b554450b4
1000tomax,Bow string,FINISHED,13000,689000,13000,702000,13000,13000,2025-08-11T13:40:00Z,2025-08-11T13:46:57Z,2025-08-11T13:46:57Z,b15e7c744c364a1f0da0b96589e71cea32dbcd13d831158ba7f4c87cbd21f065
1000tomax,Blood moon tassets,FINISHED,1,9398972,1,8772172,179023,-626800,2025-08-11T03:34:14Z,2025-08-11T13:51:44Z,2025-08-11T13:51:44Z,d2568ecd2f5b27c6f546ce509d55b96aa07c8dc2d00c2754ce6b2af7bab41def
