First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-08-03T03:43:53Z,2025-08-03T05:11:45Z,1000tomax,Lumbridge teleport,SELLING,1581,280,582,571,0,-3080,-11
2025-08-03T05:03:26Z,2025-08-03T05:11:43Z,1000tomax,Atlatl dart,FINISHED,4403,4403,45,51,4403,22015,5
2025-08-03T04:49:57Z,2025-08-03T05:05:01Z,1000tomax,Zulrah's scales,FINISHED,4575,4575,190,197,13725,18300,4
2025-08-03T04:21:08Z,2025-08-03T05:02:32Z,1000tomax,Cooked karambwan,FINISHED,2415,2415,610,626,28980,9660,4
2025-08-03T04:45:06Z,2025-08-03T04:59:54Z,1000tomax,Law rune,FINISHED,18000,18000,111,115,36000,36000,2
2025-08-03T04:44:53Z,2025-08-03T04:58:08Z,1000tomax,Chaos rune,FINISHED,900,900,62,65,900,1800,2
2025-08-03T04:03:53Z,2025-08-03T04:45:30Z,1000tomax,Iron ore,FINISHED,1710,1710,121,127,3420,6840,4
2025-08-03T04:05:40Z,2025-08-03T04:44:31Z,1000tomax,Shattered cannon ornament kit,FINISHED,1,1,516088,532802,10656,6058,6058
2025-08-03T04:04:29Z,2025-08-03T04:44:02Z,1000tomax,Cannonball,FINISHED,5155,5155,184,192,15465,25775,5
2025-08-03T03:57:24Z,2025-08-03T04:18:12Z,1000tomax,Nature rune,FINISHED,18000,18000,89,92,18000,36000,2
2025-08-03T04:02:42Z,2025-08-03T04:08:20Z,1000tomax,Blue moon tassets,FINISHED,1,1,2448476,2525849,50516,26857,26857
2025-08-03T03:49:12Z,2025-08-03T04:02:41Z,1000tomax,Chaos rune,FINISHED,2850,2850,63,66,2850,5700,2
2025-08-03T03:38:18Z,2025-08-03T04:01:22Z,1000tomax,Raw manta ray,FINISHED,647,647,3004,3152,40761,54995,85
2025-08-03T03:38:20Z,2025-08-03T03:52:02Z,1000tomax,Forgotten brew(4),FINISHED,329,329,4415,4693,30597,60865,185
2025-08-02T23:48:19Z,2025-08-03T03:45:47Z,1000tomax,Zulrah's scales,FINISHED,13646,13646,191,198,40938,54584,4
2025-08-03T03:41:59Z,2025-08-03T03:44:00Z,1000tomax,Chromium ingot,FINISHED,2,2,37536,44151,1766,11464,5732
2025-08-03T03:41:12Z,2025-08-03T03:42:02Z,1000tomax,Cannonball,FINISHED,5845,5845,184,192,17535,29225,5
2025-08-03T00:13:43Z,2025-08-03T03:38:02Z,1000tomax,Raw dark crab,FINISHED,704,704,1628,1708,23936,32384,46
2025-08-02T22:03:14Z,2025-08-03T03:37:06Z,1000tomax,Dark crab,FINISHED,270,270,1813,1933,10260,22140,82
2025-08-02T21:43:48Z,2025-08-03T00:09:49Z,1000tomax,Tzhaar-ket-om,FINISHED,3,3,317832,317227,19032,-20847,-6949
2025-08-02T22:06:24Z,2025-08-02T23:55:28Z,1000tomax,Stamina potion(4),FINISHED,300,300,8929,8975,53700,-39900,-133
2025-08-02T23:49:20Z,2025-08-02T23:53:18Z,1000tomax,Swampbark body,FINISHED,1,1,82301,88176,1763,4112,4112
2025-08-02T21:58:28Z,2025-08-02T23:51:49Z,1000tomax,Revenant ether,FINISHED,15381,15381,174,179,46143,30762,2
2025-08-02T21:55:21Z,2025-08-02T23:50:09Z,1000tomax,Astral rune,FINISHED,9377,9377,51,59,9377,65639,7
2025-08-02T21:52:37Z,2025-08-02T23:47:43Z,1000tomax,Lobster,FINISHED,6000,6000,145,153,0,48000,8
